"University Of Texas At Austin","Chemistry","PhD (F19)","Rejected"," E-mail","27 Mar 2019","","","","","","A","26 Mar 2019","Just says denied."
"University Of Chicago","Chemistry","PhD (F12)","Accepted"," E-mail","31 Jan 2012"," ","640","800","4.00","890","I","6 Feb 2012",""
"Princeton University","Chemistry","PhD (F12)","Accepted"," E-mail","23 Jan 2012","","","","","","I","6 Feb 2012",""
"Princeton University","Chemistry","PhD (F12)","Accepted"," E-mail","23 Jan 2012","","","","","","I","6 Feb 2012",""
"Indiana University - Bloomington","Chemistry","PhD (F12)","Accepted"," E-mail","6 Feb 2012","  3.74","480","790","4.00","","A","6 Feb 2012",""
"Yale Graduate School Of Arts And Sciences","Chemistry ( Physical)","PhD (F12)","Accepted"," E-mail","12 Jan 2012"," ","0","0","0.00","880","I","6 Feb 2012",""
"Lehigh University","Chemistry","PhD (F12)","Accepted"," E-mail","15 Dec 2011","","","","","","I","6 Feb 2012",""
"Iowa State University","Chemistry","PhD (F12)","Rejected"," E-mail","10 Jan 2012","","","","","","I","6 Feb 2012",""
"University Of Alberta","Chemistry","Masters (F12)","Rejected"," E-mail","10 Jan 2012","","","","","","I","6 Feb 2012",""
"Carnegie Mellon University","Chemistry","PhD (F12)","Accepted"," E-mail","4 Feb 2012","","","","","","I","6 Feb 2012",""
"Indiana U, B","Chemistry","PhD (F12)","Accepted"," E-mail","3 Feb 2012","  3.56","800","660","3.50","890","I","6 Feb 2012","24k/first year"
"Harvard Graduate School Of Arts And Sciences (GSAS)","Chemistry","PhD (F12)","Rejected"," Postal Service","6 Feb 2012","  3.68","158","170","4.50","720","A","6 Feb 2012",""
"Stanford University","Chemistry","PhD (F12)","Rejected"," Postal Service","2 Feb 2012","","","","","","A","6 Feb 2012",""
"Georgia Institute Of Technology","Chemistry","PhD (F12)","Accepted"," Postal Service","3 Feb 2012","","","","","","A","5 Feb 2012","24k Stipend, 1k towards health, and 2k fellowship"
"Rutgers University-Newark","Chemistry","PhD (F12)","Accepted"," E-mail","30 Jan 2012","","","","","","A","5 Feb 2012","They have no open house before the semester starts!"
"The State University Of New York At Buffalo","Chemistry","PhD (F12)","Accepted"," E-mail","23 Jan 2012","","","","","","A","5 Feb 2012","I am surprised they just send me the acceptance without even asking me to interview?! Anyways congrats to myself and others as well!"
"Boston University","Biochemistry And Chemistry","PhD (F12)","Accepted"," E-mail","27 Jan 2012","","","","","","A","5 Feb 2012","For those accepted: meet you guys in the open house on March 2-3! Congrats to you as well!"
"Indiana University, Bloomington (IUB)","Chemistry","PhD (F12)","Accepted"," E-mail","3 Feb 2012","","","","","","I","5 Feb 2012",""
"IU, Bloomington","Chemistry","PhD (F12)","Accepted"," E-mail","3 Feb 2012","","","","","","I","5 Feb 2012","TA/RA, $24000/y"
"Harvard Graduate School Of Arts And Sciences (GSAS)","Chemistry And Chemical Biology (CCB)","PhD (F12)","Rejected"," Postal Service","3 Feb 2012","","","","","","A","5 Feb 2012","first rejection :("
"University Of Califonia, Los Angeles","Chemistry","PhD (F12)","Accepted"," E-mail","3 Feb 2012","  3.68","158","170","4.50","720","A","4 Feb 2012","2 out of 3!"
"Texas A","Chemistry","PhD (F12)","Accepted"," E-mail","3 Feb 2012","","","","","","I","4 Feb 2012","TA/RA, $22800/y"
"Northwestern University","Chemistry","PhD (F12)","Accepted"," E-mail","3 Feb 2012","","","","","","A","4 Feb 2012",""
"University Of Michigan, Ann Arbor","Chemistry","PhD (F12)","Accepted"," E-mail","3 Feb 2012","  3.92","650","800","4.50","780","A","4 Feb 2012",""
"University Of California - Los Angeles (UCLA)","Chemistry (Inorganic)","PhD (F12)","Accepted"," E-mail","3 Feb 2012","  3.60","154","165","3.50","610","A","4 Feb 2012",""
"Yale University","Chemistry","PhD (F12)","Accepted"," E-mail","31 Jan 2012","  3.60","158","166","3.50","780","I","4 Feb 2012",""
"Texas A&M University (TAMU) - College Station","Chemistry","PhD (F12)","Accepted"," E-mail","3 Feb 2012","  3.64","700","800","3.00","880","I","4 Feb 2012","$22800 stipend"
"Pennsylvania State University","Chemistry","PhD (F12)","Accepted"," E-mail","4 Feb 2012","  3.40","156","156","4.50","620","A","4 Feb 2012",""
"Texas A & M University (TAMU)","Chemistry (Inorganic)","PhD (F12)","Accepted"," E-mail","2 Feb 2012","  3.20","490","770","4.00","760","A","3 Feb 2012","1 Year working experience CDC
3 Research projects
3 poster presentations
1 1st author paper"
"Columbia (GSAS)","Chemistry (Biophysical)","PhD (F12)","Accepted"," E-mail","3 Feb 2012","  3.20","670","760","5.00","690","A","3 Feb 2012",""
"Harvard Graduate School Of Arts And Sciences (GSAS)","Chemistry (Organic)","PhD (F12)","Rejected"," Postal Service","3 Feb 2012","","","","","","A","3 Feb 2012","First rejection."
"University Of Michigan (Ann Arbor)","Chemistry","PhD (F12)","Accepted"," E-mail","3 Feb 2012","","","","","","A","3 Feb 2012",""
"Northwestern University","Chemistry","PhD (F12)","Accepted"," E-mail","3 Feb 2012","","","","","","A","3 Feb 2012",""
"Stanford University","Biochemistry And Chemistry","PhD (F12)","Rejected"," Postal Service","2 Feb 2012","  3.68","158","170","4.50","720","A","3 Feb 2012","First rejection. Although 1 for 2 isn't bad when the acceptance is from MIT :)"
"Indiana University-Bloomington(IUB)","Chemistry","PhD (F12)","Accepted"," E-mail","3 Feb 2012","  3.84","154","170","3.50","880","I","3 Feb 2012",""
"Stanford University","Chemistry","PhD (F12)","Rejected"," Postal Service","2 Feb 2012","","","","","","U","3 Feb 2012","Not surprising."
"Stanford University","Chemistry","PhD (F12)","Rejected"," Postal Service","2 Feb 2012","","","","","","A","3 Feb 2012",""
"New York University (NYU)","Chemistry","PhD (F12)","Accepted"," E-mail","3 Feb 2012","","","","","","O","3 Feb 2012",""
"University Of Arizona - Tucson","Chemistry","PhD (F12)","Accepted"," E-mail","3 Feb 2012","","","","","","U","3 Feb 2012",""
"University Of Notre Dame","Chemistry","PhD (F12)","Accepted"," E-mail","26 Jan 2012"," ","800","550","3.50","890","I","3 Feb 2012",""
"U Of Arizona","Chemistry","PhD (F12)","Accepted"," E-mail","1 Feb 2012"," ","800","550","3.50","890","I","3 Feb 2012","haven't contacted any professor in advance"
"Stanford University","Chemistry","PhD (F12)","Rejected"," Postal Service","2 Feb 2012","  3.96","800","660","0.00","","I","3 Feb 2012",""
"The University Of Chicago","Chemistry Ph.D.","PhD (F12)","Rejected"," Postal Service","2 Feb 2012","","","","","","","3 Feb 2012",":( I'm international"
"Colorado State University","Chemistry","PhD (F12)","Accepted"," E-mail","2 Feb 2012","  3.83","152","160","4.50","","A","3 Feb 2012",""
"Vanderbilt University","Chemistry","PhD (F12)","Accepted"," E-mail","2 Feb 2012","  3.82","160","152","4.50","","A","3 Feb 2012",""
"Stanford University","Chemistry","PhD (F12)","Rejected"," Postal Service","3 Feb 2012","","","","","","A","3 Feb 2012",""
"University Of Wisconsin, Madison","Chemistry (Chemical Biology)","PhD (F12)","Accepted"," E-mail","2 Feb 2012","  3.92","650","800","4.50","780","A","3 Feb 2012",""
"California Institute Of Technology (Caltech)","Chemistry (Organic)","PhD (F12)","Accepted"," Phone","3 Feb 2012","  3.92","160","170","4.00","830","A","3 Feb 2012","Prof was out of the office and was behind on making some calls. Great surprise!"
"Johns Hopkins (JHU)","Organic Chemistry","PhD (F12)","Accepted"," E-mail","2 Feb 2012","","","","","","A","3 Feb 2012",""
"Northwestern University","Chemistry","PhD (F12)","Accepted"," Phone","2 Feb 2012","","","","","","A","2 Feb 2012","Phone call by POI in advance of letter."
"Stanford University","Chemistry","PhD (F12)","Rejected"," Postal Service","2 Feb 2012","","","","","","A","2 Feb 2012",""
"Stanford University","Chemistry","PhD (F12)","Rejected"," Postal Service","2 Feb 2012","","","","","","U","2 Feb 2012",""
"Stanford University","Chemistry","PhD (F12)","Rejected"," Postal Service","2 Feb 2012","","","","","","A","2 Feb 2012","Awwwwwwwww!"
"Stanford University","Chemistry (Organic)","PhD (F12)","Rejected"," Postal Service","2 Feb 2012","  3.92","160","170","4.00","830","A","2 Feb 2012",""
"University Of Arizona","Biochemistry And Chemistry","PhD (F12)","Accepted"," Phone","2 Feb 2012","  3.30","570","750","4.00","720","A","2 Feb 2012","Called to organize visitation weekend, followed by email."
"Tufts University","Chemistry","PhD (F12)","Accepted"," E-mail","2 Feb 2012","","","","","","A","2 Feb 2012","$27,000 stipend offered, visit day is March 10"
"Vanderbilt","Chemistry (Organic)","PhD (F12)","Rejected"," E-mail","2 Feb 2012","","","","","","A","2 Feb 2012",""
"Johns Hopkins (JHU)","Chemistry (Inorganic/ Materials)","PhD (F12)","Accepted"," E-mail","2 Feb 2012","  3.81","158","157","4.00","750","","2 Feb 2012",""
"Harvard Graduate School Of Arts And Sciences (GSAS)","Chemistry And Chemical Biology","PhD (F12)","Rejected"," E-mail","1 Feb 2012","  3.94","590","800","5.00","740","A","2 Feb 2012","Rejected after inquiring via email.  Accepted to other top chem programs."
"Columbia University (GSAS)","Chemistry (Organic)","PhD (F12)","Accepted"," E-mail","2 Feb 2012","","","","","","A","2 Feb 2012",""
"University Of Arizona, Tucson","Chemistry","PhD (F12)","Accepted"," E-mail","1 Feb 2012","","","","","","I","2 Feb 2012","TA/RA $22203/y"
"Harvard Graduate Schol Of Arts And Sciences","Chemistry (Organic)","PhD (F12)","Rejected"," E-mail","1 Feb 2012","  3.80","570","780","5.50","740","A","2 Feb 2012",""
"Vanderbilt University","Chemistry","PhD (F12)","Rejected"," E-mail","1 Feb 2012","","","","","","A","2 Feb 2012",""
"Vanderbilt University","Chemistry","PhD (F12)","Rejected"," E-mail","24 Jan 2012","  3.34","161","158","3.50","","A","2 Feb 2012",""
"Florida State University","Chemistry","PhD (F12)","Accepted"," E-mail","1 Feb 2012","  3.34","161","158","3.50","","A","2 Feb 2012","E-mail notification to check status."
"Scripps","Chemistry","PhD (F12)","Interview"," E-mail","2 Feb 2012","","","","","","U","2 Feb 2012","and then, i received email from scripps...
"
"Stanford University","Chemistry","PhD (F12)","Accepted"," Other","2 Feb 2012","","","","","","U","2 Feb 2012","i called them, and they told me i am rejected"
"University Of Washington - Seattle (UW)","Chemistry","PhD (F12)","Accepted"," E-mail","12 Feb 2012","  3.89","163","160","5.00","720","A","2 Feb 2012",""
"Johns Hopkins University (JHU)","Chemistry-Biology Interface Program(CBI)","PhD (F12)","Rejected"," E-mail","2 Feb 2012","  3.84","154","170","3.50","880","I","2 Feb 2012",""
"Stanford University","Chemistry (Organic)","PhD (F12)","Accepted"," Postal Service","1 Feb 2012","  3.80","570","780","5.50","740","A","1 Feb 2012",""
"The University Of Minnesota - Twin Cities","Chemistry","PhD (F12)","Accepted"," E-mail","1 Feb 2012","  3.61","163","159","4.50","750","A","1 Feb 2012",""
"The University Of Minnesota - Twin Cities","Chemistry","PhD (F12)","Accepted"," E-mail","1 Feb 2012","  3.64","590","790","3.50","640","U","1 Feb 2012","Full tuition coverage and first year TA, around 24k. Two admissions after 3 rejections."
"The University Of Minnesota - Twin Cities","Chemistry (Biochemistry)","PhD (F12)","Accepted"," E-mail","1 Feb 2012","  3.72","600","620","4.50","","A","1 Feb 2012",""
"Johns Hopkins (JHU)","Chemistry","PhD (F12)","Accepted"," E-mail","1 Feb 2012","","","","","","A","1 Feb 2012","Visitation March 16-18"
"Stanford University","Chemistry","PhD (F12)","Rejected"," Postal Service","1 Feb 2012","","","","","","A","1 Feb 2012",""
"University Of Washington Seattle","Chemistry","PhD (F12)","Accepted"," E-mail","12 Jan 2012","","","","","","A","1 Feb 2012","$26,500 stipend plus $3,000 scholarship and waived tuition"
"Purdue University - West Lafayette","Chemistry","PhD (F12)","Accepted"," E-mail","29 Jan 2012","","","","","","A","1 Feb 2012","Invited to a ""Research Symposium"" in the email, called to confirm admission status."
"Johns Hopkins University (JHU)","Chemistry","PhD (F12)","Accepted"," E-mail","1 Feb 2012","  3.75","157","160","4.00","860","I","1 Feb 2012","Tuition fellowship merit award and teaching assistantship. Offical letter to come on late-February."
"University Of Utah","Chemistry","PhD (F12)","Accepted"," E-mail","30 Jan 2012","","","","","","A","1 Feb 2012",""
"North Carolina State University (NCSU)","Chemistry","PhD (F12)","Accepted"," E-mail","31 Jan 2012","","","","","","A","1 Feb 2012",""
"University Of South California (USC)","Chemistry","PhD (F12)","Accepted"," Postal Service","30 Jan 2011","","","","","","U","1 Feb 2012",""
"Michigan State University","Chemistry","PhD (F12)","Accepted"," E-mail","12 Jan 2012","","","","","","I","1 Feb 2012","Got the offer 2 days after phone interview."
"University Of California  San Diego (UCSD)","Chemistry (Organic)","PhD (F12)","Rejected"," E-mail","31 Jan 2012","","","","","","U","1 Feb 2012","Only one admit for foreign student for organic chem this year."
"Princeton University","Chemistry (Organic)","PhD (F12)","Rejected"," E-mail","25 Jan 2012","","","","","","U","1 Feb 2012",""
"University Of Chicago","Chemistry (Organic)","PhD (F12)","Rejected"," E-mail","30 Jan 2012","  3.70","164","152","4.00","780","U","1 Feb 2012",""
"Stanford University","Chemistry","PhD (F12)","Rejected"," E-mail","1 Feb 2012","","","","","","I","1 Feb 2012","We have just finished the admissions process and mailed the decision letters..."
"University Of Arizona - Tucson","Biochemistry And Chemistry","PhD (F12)","Accepted"," E-mail","1 Feb 2012","  3.20","155","165","4.00","","A","1 Feb 2012",""
"Ohio State University (OSU)","Chemistry","PhD (F12)","Accepted"," E-mail","30 Jan 2012","","","","","","A","31 Jan 2012",""
"Washington Univ. In St. Louis","Chemistry (Organic Chemistry)","PhD (F12)","Rejected"," E-mail","31 Jan 2012","","","","","","U","31 Jan 2012",""
"University Of Oregon","Chemistry","PhD (F12)","Rejected"," E-mail","31 Jan 2012","","","","","","A","31 Jan 2012","My professor never submitted my final letter of recommendation... They said I would have been almost certainly accepted otherwise. Too bad."
"Syracuse University","Chemistry","PhD (F12)","Accepted"," Phone","31 Jan 2012","","","","","","A","31 Jan 2012","I'm a beast."
"University Of Arizona - Tucson","Chemistry","PhD (F12)","Rejected"," Website","31 Jan 2012","","","","","","A","31 Jan 2012",""
"Stanford University","Chemistry","PhD (F12)","Accepted"," E-mail","31 Jan 2012","  3.76","169","160","4.50","770","A","31 Jan 2012","I think I have an unfair advantage because my PI has roots in stanford."
"Harvard Graduate School Of Arts And Sciences (GSAS)","Chemistry","PhD (F12)","Rejected"," E-mail","31 Jan 2012","","","","","","A","31 Jan 2012",""
"Ohio State University (OSU)","Chemistry (theoretical)","PhD (F12)","Accepted"," E-mail","30 Jan 2012","  3.50","590","740","4.50","590","A","31 Jan 2012","E-mail notification of offer. Details to be e-mailed within the week.rn(Correction to Iowa State below: Q:740, V:590)"
"Iowa State University","Chemistry (theoretical)","PhD (F12)","Accepted"," E-mail","27 Jan 2012","  3.50","740","590","4.50","590","A","31 Jan 2012","E-mail notification of offer. Letter mailed with details."
"University Of Pennsylvania (UPenn)","Chemistry (Inorganic)","PhD (F12)","Accepted"," E-mail","30 Jan 2012","  3.80","157","158","4.00","","","31 Jan 2012","2 years of research 
Financial Offer to come in the mail"
"California, Irvine (UCI)","Chemistry","PhD (F12)","Accepted"," Postal Service","31 Jan 2012","","","","","","A","31 Jan 2012",""
"The University Of Chicago","Chemistry","PhD (F12)","Accepted"," E-mail","30 Jan 2012","","","","","","I","31 Jan 2012","E-mail from a faculty member that contacted before"
"Stanford University","Chemistry","PhD (F12)","Accepted"," E-mail","30 Jan 2012","","","","","","A","31 Jan 2012",""
"University Of California - Berkeley (UCB)","Chemistry","PhD (F12)","Accepted"," E-mail","28 Jan 2012","  3.81","170","168","5.50","860","A","31 Jan 2012","For theoretical chemistry. From small, mid-tier LAC."
"Yale Graduate School Of Arts And Sciences","Chemistry","PhD (F12)","Accepted"," E-mail","25 Jan 2012","  3.81","170","168","5.50","860","A","31 Jan 2012","For theoretical chemistry (same for ones below). From small, mid-tier LAC."
"Stanford University","Chemistry","PhD (F12)","Accepted"," Postal Service","21 Jan 2012","  3.81","170","168","5.50","860","A","31 Jan 2012","From small, mid-tier LAC."
"University Of Michigan - Ann Arbor","Chemistry","PhD (F12)","Accepted"," E-mail","20 Jan 2012","  3.81","170","168","5.50","860","A","31 Jan 2012","From small, mid-tier LAC."
"University Of Wisconsin, Madison","Chemistry","PhD (F12)","Accepted"," E-mail","11 Jan 2012","  3.81","170","168","5.50","860","A","31 Jan 2012","From small, mid-tier LAC."
"The University Of Chicago","Chemistry","PhD (F12)","Accepted"," Postal Service","9 Jan 2012","  3.81","170","168","5.50","860","A","31 Jan 2012","With Freud Fellowship. From small, mid-tier LAC."
"Massachusett Institute Of Technology (MIT)","Chemistry","PhD (F12)","Accepted"," E-mail","30 Jan 2012","","","","","","A","31 Jan 2012","Fourth"
"California Institute Of Technology (Caltech)","Chemistry","PhD (F12)","Accepted"," E-mail","28 Jan 2012","","","","","","A","31 Jan 2012","Third"
"Northwestern University","Chemistry","PhD (F12)","Accepted"," E-mail","16 Jan 2012","","","","","","A","31 Jan 2012","Second"
"Columbia University","Chemistry","PhD (F12)","Accepted"," E-mail","12 Jan 2012","","","","","","A","31 Jan 2012","First"
"University Of California, San Diego (UCSD)","Chemistry (Organic Chemistry)","PhD (F12)","Accepted"," E-mail","17 Jan 2012","  3.33","167","165","4.50","800","A","31 Jan 2012",""
"University Of Michigan","Chemistry","PhD (F12)","Accepted"," E-mail","30 Jan 2012","  3.85","740","550","4.50","720","A","30 Jan 2012",""
"University Of California At Berkeley (UC Berkeley)","Chemistry (Organic)","PhD (F12)","Accepted"," E-mail","30 Jan 2012","  4.00","158","166","3.50","910","A","30 Jan 2012","Phew! Starting to sweat there for a minute..."
"Stanford University","Chemistry","PhD (F12)","Accepted"," Postal Service","30 Jan 2012","","","","","","A","30 Jan 2012",""
"Ohio State University (OSU)","Chemistry","PhD (F12)","Accepted"," E-mail","30 Jan 2012","","","","","","A","30 Jan 2012",""
"The University Of Michigan","Chemistry","PhD (F12)","Accepted"," E-mail","30 Jan 2012","","","","","","U","30 Jan 2012",""
"Rutgers University-Newark","Chemistry","PhD (F12)","Accepted"," E-mail","30 Jan 2012","  3.64","590","790","3.50","640","U","30 Jan 2012","Full coverage of tuition and one year TA."
"The University Of Chicago","Chemistry","PhD (F12)","Accepted"," Postal Service","11 Jan 2012","  3.87","460","800","4.50","750","U","30 Jan 2012","Surprised! Was expecting an email and other schools first."
"Cornell University","Chemistry","PhD (F12)","Accepted"," E-mail","29 Jan 2012","  3.87","460","800","4.50","750","U","30 Jan 2012","YESSS!!! Early Admit!!"
"Carnegie Mellon (CMU)","Chemistry","PhD (F12)","Accepted"," E-mail","27 Jan 2012","","","","","","U","30 Jan 2012",""
"Colorado State University - Fort Collins","Chemistry (Organic)","PhD (F12)","Accepted"," E-mail","21 Jan 2012","","","","","","A","30 Jan 2012","GTA stipend $21,750/year (but still have to pay $912 in fees per semester!). No word on additional fellowship yet. High GPA from mid-level university, pretty good GRE scores, 2 solid LORs, 2 years undergrad research exp"
"Cornell University","Chemistry And Chemical Biology","PhD (F12)","Accepted"," E-mail","29 Jan 2012","","","","","","A","29 Jan 2012",""
"Vanderbilt University","Chemistry","PhD (F12)","Accepted"," E-mail","27 Jan 2012","","","","","","A","29 Jan 2012",""
"Cornell University","Chemistry","PhD (F12)","Accepted"," E-mail","29 Jan 2012","","","","","","A","29 Jan 2012","""I am pleased to accept you as an early admit to our graduate program in Chemistry and Chemical Biology"""
"Carnegie Mellon University (CMU)","Chemistry","PhD (F12)","Interview"," Phone","29 Jan 2012"," ","430","790","3.00","750","I","29 Jan 2012","Interviewed today by POI. fingers crossed now!"
"California Institute Of Technology (Caltech)","Chemistry (Physical)","PhD (S12)","Accepted"," E-mail","29 Jan 2012","","","","","","A","29 Jan 2012",""
"University Of Cincinnati","Chemistry","PhD (F12)","Accepted"," E-mail","27 Jan 2012","","","","","","A","29 Jan 2012",""
"Dartmouth College","Chemistry","PhD (F12)","Other"," E-mail","29 Jan 2012","","","","","","U","29 Jan 2012","Got email from POI told me that they would not be able to make more offers until they heard back from the admitted ones. Guys who got admitted but do not plan to attend please reject. Thank you very very much!"
"University Of Minnesota, Twin Cities (UMN)","Chemistry (Chemical Physics)","PhD (F12)","Interview"," E-mail","29 Jan 2012","","","","","","A","29 Jan 2012","set up Skype interview"
"Massachusetts Institute Of Technology (MIT)","Chemistry (Physical Chemistry)","PhD (F12)","Accepted"," Phone","29 Jan 2012","  3.83","550","800","3.00","910","I","29 Jan 2012",""
"Harvard Graduate School Of Arts And Sciences (GSAS)","Chemistry And Chemical Biology (CCB)","PhD (F12)","Accepted"," Postal Service","28 Jan 2012","  4.00","161","169","5.50","95","U","29 Jan 2012","Was surprised to find it in my mailbox when I came back from holidays..."
"U Of Wisconsin, Madison","Chemistry","PhD (F12)","Accepted"," E-mail","28 Jan 2012","  3.99","680","790","4.50","860","A","28 Jan 2012",""
"University Of Chicago","Chemistry","PhD (F12)","Rejected"," Postal Service","28 Jan 2012","  3.64","590","790","3.50","640","U","28 Jan 2012",""
"University Of California  San Diego (UCSD)","Chemistry And Biochemistry","PhD (F12)","Interview"," E-mail","27 Jan 2012","","","","","","A","28 Jan 2012",""
"Indiana University - Bloomington","Chemistry","PhD (F12)","Interview"," Other","28 Jan 2012","","","","","","I","28 Jan 2012","Interviewed by a faculty member"
"Indiana University - Bloomington","Chemistry","PhD (F12)","Rejected"," Postal Service","27 Jan 2012","","","","","","A","28 Jan 2012",""
"University Of California At Berkeley (UC Berkeley)","Chemistry","PhD (F12)","Accepted"," E-mail","28 Jan 2012","  3.96","159","170","4.50","820","A","28 Jan 2012",""
"Stanford University","Chemistry (Physical)","PhD (F12)","Accepted"," E-mail","28 Jan 2012","  3.83","550","800","3.00","910","I","28 Jan 2012",""
"University Of California Davis (UCD)","Chemistry","PhD (F12)","Accepted"," E-mail","27 Jan 2012","  3.60","161","167","4.00","870","A","27 Jan 2012","A top choice of mine :) Admission came with a $7500 fellowship for first year (they say fellowship finalist... but I think everyone who is a ""finalist"" gets the $ unless I'm wrong...)"
"Washington University (St. Louis)","Chemistry","PhD (F12)","Accepted"," E-mail","9 Jan 2012","  4.00","156","158","4.50","","A","27 Jan 2012",""
"University Of Arizona - Tucson","Chemistry","PhD (F12)","Accepted"," Phone","9 Jan 2012","  4.00","156","158","4.50","","A","27 Jan 2012",""
"University Of Southern California (USC)","Chemistry","PhD (F12)","Accepted"," E-mail","26 Jan 2012","","","","","","I","27 Jan 2012",""
"University Of Southern California (USC)","Chemistry","PhD (F12)","Accepted"," E-mail","26 Jan 2012","","","","","","I","27 Jan 2012",""
"Texas Tech University","Chemistry And Biochemistry","PhD (F12)","Other"," E-mail","12 Jan 2012","  2.50","155","150","3.50","650","I","27 Jan 2012","Application under committee review"
"Michigan State University (MSU)","Chemistry","PhD (F12)","Accepted"," E-mail","27 Jan 2012","  3.38","160","162","4.00","840","I","27 Jan 2012","Got my second acceptance after the interview. The stipend is approx 19k per month."
"University Of Oxford","Chemistry","PhD (F12)","Accepted"," E-mail","26 Jan 2012","","","","","","I","27 Jan 2012",""
"Tufts University","Chemistry","PhD (F12)","Accepted"," Website","27 Jan 2012","","","","","","I","27 Jan 2012","The website where you can see the result is now updated."
"University Of Colorado Boulder","Organic Chemistry","PhD (F12)","Accepted"," E-mail","27 Jan 2012","","","","","","A","27 Jan 2012","Email from a professor :-)"
"University Of Illinois - Urbana Champaign","Chemistry","PhD (F12)","Rejected"," E-mail","27 Jan 2012","","","","","","A","27 Jan 2012",""
"Arizona State University (ASU)","Chemistry","PhD (F12)","Accepted"," E-mail","27 Jan 2012","","","","","","I","27 Jan 2012",""
"The University Of Texas At Austin","Biochemistry And Chemistry","PhD (F12)","Accepted"," E-mail","26 Jan 2012","  3.62","154","165","3.50","","A","26 Jan 2012",""
"University Of Colorado - Boulder","Chemistry (Physical)","PhD (F12)","Accepted"," E-mail","26 Jan 2012","","","","","","A","26 Jan 2012",""
"Rutgers University, New Brunswick","Chemistry","PhD (F12)","Accepted"," E-mail","26 Jan 2012","  3.62","570","760","4.50","610","A","26 Jan 2012",""
"Virginia Polytechnic Institute And State University (Virginia Tech)","Chemistry","PhD (F12)","Accepted"," E-mail","26 Jan 2012","  3.35","163","162","4.00","","A","26 Jan 2012",""
"University Of Kansas","Pharmaceutical Chemistry","PhD (F12)","Interview"," E-mail","20 Jan 2012","","","","","","A","26 Jan 2012",""
"Vanderbilt University","Chemistry","PhD (F12)","Rejected"," E-mail","23 Jan 2012","","","","","","A","26 Jan 2012",""
"Notre Dame","Chemistry (Biochemistry)","PhD (F12)","Accepted"," E-mail","10 Jan 2012","  3.72","620","600","4.50","","A","26 Jan 2012",""
"Georgia Tech","Chemistry","PhD (F12)","Accepted"," E-mail","26 Jan 2012","","","","","","A","26 Jan 2012",""
"Georgia Institute Of Technology","Chemistry And Biochemistry","PhD (F12)","Accepted"," E-mail","26 Jan 2012","","","","","","U","26 Jan 2012","$2000 additional fellowship first year"
"University Of Illinois - Urbana-Champaign","Chemistry","PhD (F12)","Rejected"," E-mail","26 Jan 2012","  3.40","156","156","4.00","620","A","26 Jan 2012",""
"Duke University","Chemistry","PhD (F12)","Accepted"," E-mail","26 Jan 2012","  3.60","690","780","3.50","","A","26 Jan 2012",""
"Princeton University","Chemistry","PhD (F12)","Rejected"," E-mail","25 Jan 2012","","","","","","I","26 Jan 2012","Thank you for applying to our Graduate School for the 2012-2013 academic year. While I assure you that the materials you submitted were carefully reviewed by the faculty in the Department of Chemistry, I regret to inform you that the department did not recommend your admission for the coming year."
"University Of Southern California (USC)","Chemistry","PhD (F12)","Accepted"," E-mail","26 Jan 2012","  3.92","160","170","4.00","830","A","26 Jan 2012","first year TA"
"Duke University","Chemistry","PhD (F12)","Accepted"," E-mail","26 Jan 2012","  3.80","560","750","0.00","","A","26 Jan 2012","Fellowship!"
"The University Of Chicago","Chemistry","PhD (F12)","Accepted"," Phone","26 Jan 2012","","","","","","A","26 Jan 2012",""
"Duke University","Chemistry","PhD (F12)","Accepted"," Website","26 Jan 2012","  3.92","650","800","4.50","780","A","26 Jan 2012","Email directing me to website, which had the decision (acceptance) letter."
"Texas A&M University - College Station","Chemistry","PhD (F12)","Accepted"," E-mail","22 Jan 2012","  3.40","156","156","4.00","620","A","26 Jan 2012",""
"The University Of Virginia (UVA)","Chemistry","PhD (F12)","Accepted"," E-mail","20 Jan 2012","  3.35","163","162","4.00","","A","26 Jan 2012",""
"Yale Graduate School Of Arts And Sciences","Chemistry","PhD (F12)","Accepted"," E-mail","25 Jan 2012","","","","","","A","26 Jan 2012",""
"University Of Utah","Organic Chemistry","PhD (F12)","Accepted"," E-mail","12 Jan 2012","  3.20","490","770","0.00","760","A","26 Jan 2012",""
"Florida State University (FSU), Tallahassee.","Chemistry","PhD (F12)","Accepted"," E-mail","25 Jan 2012","","","","","","A","26 Jan 2012","#1 mag lab"
"Carnegie Mellon University","Chemistry","PhD (F12)","Accepted"," E-mail","26 Jan 2012","  3.38","160","162","4.00","840","I","26 Jan 2012","2200 per month offer"
"Princeton University","Chemistry","PhD (F12)","Rejected"," E-mail","26 Jan 2012","","","","","","I","26 Jan 2012",""
"University Of California, Los Angeles (UCLA)","Biochemistry And Chemistry","PhD (F12)","Accepted"," E-mail","26 Jan 2012","","","","","","A","26 Jan 2012",""
"University Of Michigan , Ann Arbor","Chemistry (Organic Chemistry)","PhD (F12)","Accepted"," E-mail","16 Jan 2012","  3.97","540","790","5.00","680","A","26 Jan 2012",""
"University Of California - Los Angeles (UCLA)","Chemistry (Organic Chemistry)","PhD (F12)","Accepted"," E-mail","16 Jan 2012","  3.97","540","790","5.00","680","A","26 Jan 2012",""
"University Of Colorado At Boulder","Chemistry","PhD (F12)","Accepted"," E-mail","25 Jan 2012","","","","","","U","26 Jan 2012",""
