Shiraz University,Department Of Mechanical And Nuclear Engineering, Masters (S19),Other , Website , 16 Jul 2018,,,,, ,I,16 Jul 2018,,
"University Of Michigan, Ann Arbor",Nuclear Engineering, PhD (F10),Interview , E-mail , 19 Feb 2010,,,,, ,A,20 Feb 2010,,
"University Of California, Berkeley (UCB)",Nuclear Engineering, PhD (F10),Rejected , Phone , 20 Feb 2010 ,3.76,280,790,3, n/a,A,20 Feb 2010,"2nd time apply to Berkeley. I got BS and MS from Texas A&M in nuclear engineering with GPA > 3.7 + 2 years research + 1 article , but still be rejected ! They only accept 15 students every years. 
",
Massachusetts Institute Of Technology (MIT),Nuclear Engineering, PhD (F10),Accepted , E-mail , 19 Feb 2010 ,3.4,580,800,3,820,A,19 Feb 2010,Plasma Physics and Fusion,
University Of Michigan,Nuclear Engineering, PhD (F10),Other , E-mail , 11 Feb 2010,,,,, ,A,16 Feb 2010,Received invite to open house,
"University Of California, Berkeley (UCB)",Nuclear Engineering, PhD (F10),Other , E-mail , 13 Feb 2010,,,,, ,A,13 Feb 2010,Received invitation to visit department,
"University Of Wisconsin, Madison",Nuclear Engineering And Engineering Physics, PhD (F10),Accepted , E-mail , 13 Jan 2010 ,3.4,580,800,3,820,A,12 Feb 2010,Plasma Physics and Fusion,
North Carolina State University (NCSU),Nuclear Engineering, PhD (F10),Accepted , E-mail , 11 Feb 2010,,,,, ,A,11 Feb 2010,,
"University Of Illinois, Urbana Champaign (UIUC)",Nuclear Engineering, PhD (F10),Accepted , Postal Service , 8 Feb 2010 ,3.83,790,360,4, n/a,A,10 Feb 2010,,
"University Of Illinois, Urbana Champaign (UIUC)",Nuclear Engineering, PhD (F10),Accepted , Phone , 4 Feb 2010,,,,, ,A,8 Feb 2010,,
"University Of Wisconsin, Madison",Nuclear Engineering And Engineering Physics, Masters (F10),Accepted , E-mail , 21 Jan 2010 ,3.95,500,740,4.5, n/a,A,22 Jan 2010,My undergrad program is Mechanical Engineering at a top 10 university.,
"University Of Wisconsin, Madison",Nuclear Engineering, PhD (F10),Accepted , E-mail , 14 Jan 2010 ,3.83,360,790,4, n/a,A,16 Jan 2010,,
"University Of California, Berkeley (UCB)",Nuclear Engineering, PhD (?),Rejected , E-mail , 22 Apr 2009,,,,, ,A,21 Apr 2009,whatever,
Massachusetts Institute Of Technology (MIT),Nuclear Science And Engineering, PhD (?),Accepted , E-mail , 9 Mar 2009,,,,, ,A,20 Apr 2009,,
Massachusetts Institute Of Technology (MIT),Nuclear Engineering, PhD (?),Rejected , E-mail , 16 Apr 2009,,,,, ,I,16 Apr 2009,Had to ask many times,
"University Of California, Berkeley (UCB)",Nuclear Engineering, PhD (?),Rejected , Postal Service , 10 Apr 2009,,,,, ,I,10 Apr 2009,,
Pennsylvania State University (PSU),Mechanical & Nuclear Engineering, Masters (?),Rejected , E-mail , 10 Apr 2009,,,,, ,I,10 Apr 2009,,
Pennsylvania State University (PSU),Mechanical & Nuclear Engineering, PhD (?),Rejected , E-mail , 10 Apr 2009,,,,, ,I,10 Apr 2009,,
Pennsylvania State University (PSU),Mechanical And Nuclear Engineering, Masters (?),Accepted , E-mail , 7 Apr 2009,,,,, ,A,7 Apr 2009,with assistantship and fellowship! About damn time...,
"University Of Michigan, Ann Arbor",Nuclear Engineering, Masters (?),Accepted , E-mail , 3 Feb 2009,,,,, ,I,3 Apr 2009,No funding.....,
"University Of Michigan, Ann Arbor",Nuclear Engineering And Radiological Science, Masters (?),Accepted , E-mail , 2 Apr 2009,,,,, ,I,2 Apr 2009,Without funding,
"University Of Wisconsin, Madison",Nuclear Engineering, Masters (?),Rejected , E-mail , 31 Mar 2009,,,,, ,U,31 Mar 2009,,
Massachusetts Institute Of Technology (MIT),Nuclear Engineering, PhD (?),Rejected , Postal Service , 31 Mar 2009,,,,, ,A,30 Mar 2009,,
Pennsylvania State University (PSU),Mechanical And Nuclear Engineering, Masters (?),Rejected , E-mail , 20 Mar 2009,,,,, ,I,29 Mar 2009,Stupid Penn State! YOU FOOL!! DAMN DAMN DAMN,
Massachusetts Institute Of Technology (MIT),Nuclear Engineering, PhD (?),Other , Other , 26 Mar 2009,,,,, ,I,26 Mar 2009,Did anyone receive some answer from MIT Nuclear Science and Engineering for PhD or Masters and via e-mail/website... ??,
"Pennsylvania State University, University Park",Mechanical & Nuclear Engineering, Masters (?),Accepted , E-mail , 17 Mar 2009,,,,, ,I,17 Mar 2009,Offered a half-time graduate assistant for one-year,
"University Of Wisconsin, Madison",Nuclear Engineering, Masters (?),Accepted , E-mail , 16 Mar 2009,,,,, ,A,16 Mar 2009,,
"University Of California, Berkeley (UCB)",Nuclear Engineering, Masters (?),Accepted , E-mail , 16 Mar 2009,,,,, ,I,16 Mar 2009,,
"University Of California, Berkeley (UCB)",Nuclear Engineering, PhD (?),Rejected , E-mail , 2 Mar 2009,,,,, ,A,15 Mar 2009,,
Massachusetts Institute Of Technology (MIT),Nuclear Science And Engineering, Masters (?),Accepted , E-mail , 12 Mar 2009,,,,, ,I,12 Mar 2009,,
"University Of Illinois, Urbana Champaign (UIUC)",Nuclear Plasma And Radiological Engineering, PhD (?),Accepted , E-mail , 6 Mar 2009,,,,, ,I,6 Mar 2009,With assistantship! Has anyone heard from MIT nuclear?,
"University Of Tennessee, Knoxville",Nuclear Engineering, Masters (?),Rejected , E-mail , 27 Feb 2009,,,,, ,I,27 Feb 2009,,
North Carolina State University (NCSU),Nuclear Engineering, Masters (?),Accepted , E-mail , 1 Feb 2009,,,,, ,I,22 Feb 2009,,
North Carolina State University (NCSU),Nuclear Engineering, PhD (?),Accepted , E-mail , 6 Feb 2009,,,,, ,I,17 Feb 2009,,
"University Of California, Berkeley (UCB)",Nuclear Engineering, PhD (?),Rejected , E-mail , 23 Apr 2008,,,,, ,A,23 Apr 2008,"I pretty much gave up on them, nice to at least hear they didn't want me.  Go MIT!",
"University Of Michigan, Ann Arbor",Nuclear Engineering, PhD (?),Accepted , E-mail , 25 Mar 2008,,,,, ,A,26 Mar 2008,,
Texas A&M University - College Station,Nuclear Engineering, Masters (?),Accepted , Phone , 20 Mar 2008,,,,, ,I,20 Mar 2008,"I was admitted on Feb 22, but somehow my letter didn't get sent until Mar 19. I had to call to follow-up.",
Massachusetts Institute Of Technology (MIT),Nuclear Engineering, PhD (?),Accepted , E-mail , 19 Mar 2008,,,,, ,O,20 Mar 2008,"Very happy! I have got graduate fellowship for two years, funding for second year is dependent on first year academic performance. Well, I never believed that MIT will offer me an admission. Can you imagine NCSU rejecting me? NCSU was actually top on my list. How ironic!",
Rensselaer Polytechnic Institute (RPI),Nuclear Engineering, PhD (?),Accepted , Postal Service , 14 Mar 2008 ,,,,,,?,18 Mar 2008,still waiting for funding......,
Georgia Institute Of Technology,Nuclear Engineering , PhD (?),Accepted , E-mail , 5 Mar 2008,,,,, ,A,5 Mar 2008,With paid visit offer.,
Massachusetts Institute Of Technology (MIT),Nuclear Engineering, PhD (?),Accepted , Postal Service , 3 Mar 2008,,,,, ,A,4 Mar 2008,"""Official"" acceptance letter of accepted student with RA from below.",
Rensselaer Polytechnic Institute (RPI),Nuclear Engineering, PhD (?),Accepted , Postal Service , 3 Mar 2008,,,,, ,U,4 Mar 2008,"Letter was dated February 28, 2008. I was told that communication regarding aid will come from the admitting department and that I should contact the department directly. I have emailed the department, I hope to hear good news about funding soon (Fingers crosssed!). I am so happy! I have one good one down, one rejection down (NCSU) and five more to go (MIT, Berkeley, UIUC, UFlorida & Umichigan)",
North Carolina State University,Nuclear Engineering, PhD (?),Accepted , E-mail , 2 Mar 2008,,,,, ,A,2 Mar 2008,,
Massachusetts Institute Of Technology (MIT),Nuclear Engineering, PhD (?),Rejected , E-mail , 21 Feb 2008,,,,, ,A,2 Mar 2008,,
"University Of Wisconsin, Madison",Nuclear Engineering, PhD (?),Rejected , E-mail , 25 Feb 2008,,,,, ,A,2 Mar 2008,,
"University Of California, Berkeley (UCB)",Nuclear Engineering, PhD (?),Rejected , E-mail , 28 Feb 2008,,,,, ,A,2 Mar 2008,,
North Carolina State University,Nuclear Engineering, PhD (?),Rejected , Postal Service , 27 Feb 2008,,,,, ,U,29 Feb 2008,Currently doing an MEng Program at Cornell University,
"University Of California, Berkeley (UCB)",Nuclear Engineering, PhD (?),Accepted , E-mail , 22 Feb 2008,,,,, ,A,22 Feb 2008,,
Massachusetts Institute Of Technology (MIT),Nuclear Engineering, PhD (?),Rejected , E-mail , 21 Feb 2008,,,,, ,A,21 Feb 2008,,
Massachusetts Institute Of Technology (MIT),Nuclear Engineering, PhD (?),Accepted , E-mail , 20 Feb 2008,,,,, ,A,20 Feb 2008,With RA!!,
North Carolina State University,Nuclear Engineering, PhD (?),Accepted , E-mail , 4 Feb 2008,,,,, ,A,19 Feb 2008,With RA!,
University Of Florida,Nuclear Engineering, Masters (?),Accepted , Phone , 8 Feb 2008,,,,, ,I,8 Feb 2008,"Recruiting Feb 21-23, no word on funding",
Pennsylvania State University (PSU),Nuclear Engineering, Masters (?),Accepted , E-mail , 7 Feb 2008,,,,, ,I,7 Feb 2008,,
Pennsylvania State University (PSU),Nuclear Engineering, PhD (?),Other , E-mail , 23 Mar 2007,,,,, ,A,23 Mar 2007,"With regards to acceptance/rejection notifications, was told ""We will have our answer out to everyone by Monday evening.""",
Massachusetts Institute Of Technology (MIT),Nuclear Engineering And Science, PhD (?),Accepted , E-mail , 24 Mar 2006,,,,, ,U,6 Apr 2006,,
"University Of Michigan, Ann Arbor",Nuclear Engineering And Radiological Sciences, Masters (?),Accepted , E-mail , 7 Mar 2006,,,,, ,I,18 Mar 2006,preliminary letter,
"University Of California, Berkeley (UCB)",Nuclear Engineering, Masters (?),Rejected , E-mail , 8 Mar 2006,,,,, ,I,18 Mar 2006,Canadian student,
University of Florida,Nuclear And Radiological Engineering, PhD (?),Rejected , E-mail , 12 Mar 2006,,,,, ,I,12 Mar 2006,,
"University Of California, Berkeley (UCB)",Nuclear Engineering, PhD (?),Rejected , E-mail , 1 Mar 2006,,,,, ,U,8 Mar 2006,,
"University Of Michigan, Ann Arbor",Nuclear Engineering And Radiological Sciences, PhD (?),Rejected , E-mail , 7 Mar 2006,,,,, ,I,7 Mar 2006,,
Pennsylvania State University (PSU),Mechanical And Nuclear Engineering, Masters (?),Rejected , E-mail , 7 Mar 2006,,,,, ,I,7 Mar 2006,,
